title,content
공통 - 핵심 역량 목표 수립,
공통 - 핵심 역량 목표 달성률 평가,
공통 - 이번 주 할 일(업무) 검토,
공통 - WIL(What I Learned) 작성,
공통 - 팀 협업 룰/팁 정리 및 합의,
학습 - kaist gitbook Project3 Virtual Memory,
학습 - kaist gitbook Project3 FAQ & Appendix Memory Allocation & Virtual Address & Page Table,
테스트 - args-none,
테스트 - args-single,
테스트 - args-multiple,
테스트 - args-many,
테스트 - args-dbl-space,
테스트 - halt,
테스트 - exit,
테스트 - create-normal,
테스트 - create-empty,
테스트 - create-null,
테스트 - create-bad-ptr,
테스트 - create-long,
테스트 - create-exists,
테스트 - create-bound,
테스트 - open-normal,
테스트 - open-missing,
테스트 - open-boundary,
테스트 - open-empty,
테스트 - open-null,
테스트 - open-bad-ptr,
테스트 - open-twice,
테스트 - close-normal,
테스트 - close-twice,
테스트 - close-bad-fd,
테스트 - read-normal,
테스트 - read-bad-ptr,
테스트 - read-boundary,
테스트 - read-zero,
테스트 - read-stdout,
테스트 - read-bad-fd,
테스트 - write-normal,
테스트 - write-bad-ptr,
테스트 - write-boundary,
테스트 - write-zero,
테스트 - write-stdin,
테스트 - write-bad-fd,
테스트 - fork-once,
테스트 - fork-multiple,
테스트 - fork-recursive,
테스트 - fork-read,
테스트 - fork-close,
테스트 - fork-boundary,
테스트 - exec-once,
테스트 - exec-arg,
테스트 - exec-boundary,
테스트 - exec-missing,
테스트 - exec-bad-ptr,
테스트 - exec-read,
테스트 - wait-simple,
테스트 - wait-twice,
테스트 - wait-killed,
테스트 - wait-bad-pid,
테스트 - multi-recurse,
테스트 - multi-child-fd,
테스트 - rox-simple,
테스트 - rox-child,
테스트 - rox-multichild,
테스트 - bad-read,
테스트 - bad-write,
테스트 - bad-read2,
테스트 - bad-write2,
테스트 - bad-jump,
테스트 - bad-jump2,
테스트 - pt-grow-stack,
테스트 - pt-grow-bad,
테스트 - pt-big-stk-obj,
테스트 - pt-bad-addr,
테스트 - pt-bad-read,
테스트 - pt-write-code,
테스트 - pt-write-code2,
테스트 - pt-grow-stk-sc,
테스트 - page-linear,
테스트 - page-parallel,
테스트 - page-merge-seq,
테스트 - page-merge-par,
테스트 - page-merge-stk,
테스트 - page-merge-mm,
테스트 - page-shuffle,
테스트 - mmap-read,
테스트 - mmap-close,
테스트 - mmap-unmap,
테스트 - mmap-overlap,
테스트 - mmap-twice,
테스트 - mmap-write,
테스트 - mmap-ro,
테스트 - mmap-exit,
테스트 - mmap-shuffle,
테스트 - mmap-bad-fd,
테스트 - mmap-clean,
테스트 - mmap-inherit,
테스트 - mmap-misalign,
테스트 - mmap-null,
테스트 - mmap-over-code,
테스트 - mmap-over-data,
테스트 - mmap-over-stk,
테스트 - mmap-remove,
테스트 - mmap-zero,
테스트 - mmap-bad-fd2,
테스트 - mmap-bad-fd3,
테스트 - mmap-zero-len,
테스트 - mmap-off,
테스트 - mmap-bad-off,
테스트 - mmap-kernel,
테스트 - lazy-file,
테스트 - lazy-anon,
테스트 - swap-file,
테스트 - swap-anon,
테스트 - swap-iter,
테스트 - swap-fork,
테스트 - lg-create,
테스트 - lg-full,
테스트 - lg-random,
테스트 - lg-seq-block,
테스트 - lg-seq-random,
테스트 - sm-create,
테스트 - sm-full,
테스트 - sm-random,
테스트 - sm-seq-block,
테스트 - sm-seq-random,
테스트 - syn-read,
테스트 - syn-remove,
테스트 - syn-write,
테스트 - alarm-single,
테스트 - alarm-multiple,
테스트 - alarm-simultaneous,
테스트 - alarm-priority,
테스트 - alarm-zero,
테스트 - alarm-negative,
테스트 - priority-change,
테스트 - priority-donate-one,
테스트 - priority-donate-multiple,
테스트 - priority-donate-multiple2,
테스트 - priority-donate-nest,
테스트 - priority-donate-sema,
테스트 - priority-donate-lower,
테스트 - priority-fifo,
테스트 - priority-preempt,
테스트 - priority-sema,
테스트 - priority-condvar,
테스트 - priority-donate-chain,
테스트 - cow-simple (Extra),

